,count,unique,top,freq,mean,std,min,25%,50%,75%,max,n_missing,pct_missing
customerID,7043,7043,7590-VHVEG,1,,,,,,,,0,0.0
gender,7043,2,Male,3555,,,,,,,,0,0.0
SeniorCitizen,7043.0,,,,0.1621468124378816,0.3686116056100131,0.0,0.0,0.0,0.0,1.0,0,0.0
Partner,7043,2,No,3641,,,,,,,,0,0.0
Dependents,7043,2,No,4933,,,,,,,,0,0.0
tenure,7043.0,,,,32.37114865824223,24.55948102309446,0.0,9.0,29.0,55.0,72.0,0,0.0
PhoneService,7043,2,Yes,6361,,,,,,,,0,0.0
MultipleLines,7043,3,No,3390,,,,,,,,0,0.0
InternetService,7043,3,Fiber optic,3096,,,,,,,,0,0.0
OnlineSecurity,7043,3,No,3498,,,,,,,,0,0.0
OnlineBackup,7043,3,No,3088,,,,,,,,0,0.0
DeviceProtection,7043,3,No,3095,,,,,,,,0,0.0
TechSupport,7043,3,No,3473,,,,,,,,0,0.0
StreamingTV,7043,3,No,2810,,,,,,,,0,0.0
StreamingMovies,7043,3,No,2785,,,,,,,,0,0.0
Contract,7043,3,Month-to-month,3875,,,,,,,,0,0.0
PaperlessBilling,7043,2,Yes,4171,,,,,,,,0,0.0
PaymentMethod,7043,4,Electronic check,2365,,,,,,,,0,0.0
MonthlyCharges,7043.0,,,,64.76169246059918,30.090047097678493,18.25,35.5,70.35,89.85,118.75,0,0.0
TotalCharges,7043,6531,20.2,11,,,,,,,,0,0.0
Churn,7043,2,No,5174,,,,,,,,0,0.0
